产品,问题,正确答案,RAG答案,是否准确
平安守护尊享成人意外险,投保时需要提供哪些健康证明？,"根据现有文档信息，无法找到关于投保时需要提供哪些健康证明的具体要求。产品条款中仅提到被保险人应为""身体健康，能正常工作或生活的自然人""，但未明确说明需要提供何种健康证明文件。

[参考文档块：块3]","根据提供的平安守护尊享成人意外险条款内容，该产品条款中未提及投保时需要提供健康证明的要求。

意外险通常对被保险人的健康状况要求相对宽松，但具体投保要求建议：

1. 直接咨询平安保险客服或代理人获取准确的投保要求
2. 在投保过程中仔细阅读投保页面提示，按要求填写相关信息
3. 如有特殊健康状况，建议如实告知以确保保险权益

请注意，虽然条款中未明确要求健康证明，但投保时仍需如实回答健康问询，否则可能影响后续理赔。",准确
平安守护尊享成人意外险,交通意外是否有额外赔付？,"是的，交通意外有额外赔付。根据产品条款，当被保险人以乘客身份乘坐客运公共交通工具期间遭受意外伤害事故导致身故或伤残时，除了获得基础的意外伤害身故保险金或意外伤害伤残保险金外，还会额外给付同等金额的交通意外伤害身故特别保险金或交通意外伤害伤残特别保险金。

[参考文档块：块12, 块13]","根据平安守护尊享成人意外险的相关条款，该产品确实提供交通意外额外赔付保障。具体说明如下：

**交通意外额外赔付内容：**

1. **交通意外伤害身故特别保险金**
   - 被保险人在乘坐客运公共交通工具（民航客机、商业营运的火车、轮船、汽车）期间遭受意外伤害导致身故
   - 除给付基础""意外伤害身故保险金""外，还按同等金额额外给付""交通意外伤害身故特别保险金""

2. **交通意外伤害伤残特别保险金**
   - 在乘坐上述交通工具期间遭受意外伤害导致伤残
   - 除给付基础""意外伤害伤残保险金""外，还按同等金额额外给付""交通意外伤害伤残特别保险金""

3. **交通意外医疗保险**
   - 在乘坐上述交通工具期间遭受意外伤害产生的医疗费用
   - 按合同约定给付意外伤害医疗保险金

**重要提示：**
- 各项保险责任均有单独的保险金额限制
- 具体赔付金额以保险单载明的相应保险金额为准
- 交通意外保障范围限定于以乘客身份乘坐客运公共交通工具期间

因此，该产品确实对交通意外提供额外赔付保障，在基础意外保障之外，针对交通意外事故提供特别保险金。",准确
平安守护尊享成人意外险,如果选择分期付款，总共需要支付多少期？,"根据现有文档信息，无法找到关于分期付款具体期数的明确说明。文档仅提及可以分期支付保费，但具体分期期数需要以保险单载明的内容为准。

[参考文档块：块1, 块2]","根据提供的条款内容，平安守护尊享成人意外险支持分期支付保费，但具体分期期数未在条款中明确说明。条款第三条仅规定""保险费可以按照约定的分期支付日期和金额支付，具体以保险单载明为准""。

建议您：
1. 查看您的保险单或投保确认书，其中会明确载明分期支付的具体期数
2. 联系平安保险客服或登录平安官方平台查询您的保单详情
3. 在投保时，分期期数是由投保人与保险人协商确定并在保单中载明的

由于分期期数是根据具体投保方案确定的个性化内容，需要以您实际保单的记载为准。",准确
平安守护尊享成人意外险,"保险合同中""必选责任""和""可选责任""有什么区别？","根据产品文档信息，""必选责任""和""可选责任""的主要区别如下：

**必选责任**：是保险合同的基础保障责任，投保人必须首先投保必选责任，才能投保可选责任。必选责任包括意外伤害身故保险责任和意外伤害伤残保险责任。

**可选责任**：是在投保必选责任的基础上，投保人可以根据自身需求选择附加的保障责任。可选责任包括意外伤害医疗保险责任、意外伤害住院津贴保险责任、意外伤害住院护理津贴保险责任、交通意外伤害身故或伤残特别保险责任、意外骨折、关节脱位保险责任、轻度骨折津贴、骨密度检测津贴等。

简单来说，必选责任是基础保障，必须投保；可选责任是补充保障，可根据需要选择附加，但不能单独投保。

[参考文档块：块5, 块6, 块7, 块8, 块9, 块10, 块11, 块12, 块13, 块15, 块16]","根据平安守护尊享成人意外险的合同条款，""必选责任""和""可选责任""的主要区别如下：

**必选责任：**
- 是保险合同的基础保障部分
- 必须投保，否则不能投保可选责任
- 主要包括意外伤害身故保险责任
- 具体保障内容以保险单载明为准

**可选责任：**
- 是保险合同的补充保障部分
- 必须在投保必选责任的前提下才能选择投保
- 包括但不限于以下保障：
  * 意外骨折、关节脱位保险
  * 轻度骨折津贴
  * 骨密度检测津贴
  * 猝死保险责任等
- 投保人可根据需求选择是否投保

**核心关系：**
必选责任是基础，可选责任是补充。投保人必须先投保必选责任，才能根据自身需求选择是否附加可选责任。具体的保险责任范围和保险金额由投保时与保险人协商确定，并在保险合同中明确载明。",部分准确
平安守护尊享成人意外险,意外伤残的评定标准是什么？,"根据产品文档信息，意外伤残的评定标准采用《人身保险伤残评定标准及代码》（JR/T 0083-2013）。该标准是由中国保险监督管理委员会发布并经国家标准化委员会备案的中华人民共和国金融行业标准。

具体评定规则包括：
1. 伤残程度按《人身保险伤残评定标准及代码》所列给付比例乘以意外伤害保险金额给付伤残保险金
2. 如180日治疗仍未结束，按当日的身体情况进行伤残鉴定
3. 同一保险事故造成多处伤残时：
   - 伤残等级不同的，以最重的伤残等级作为最终评定结论
   - 伤残等级相同的，伤残等级在原评定基础上最多晋升一级，最高晋升至第一级
4. 同一部位和性质的伤残，不应采用标准条文两条以上或同一条文两次以上进行评定

[参考文档块：块7, 块32]","根据平安守护尊享成人意外险条款，意外伤残的评定标准如下：

**评定标准依据：**
《人身保险伤残评定标准及代码》（JR/T 0083-2013），这是由中国保险监督管理委员会发布并经国家标准化委员会备案的金融行业标准。

**具体评定规则：**
1. **评定时间：** 自意外伤害事故发生之日起180日内进行伤残评定。如第180日治疗仍未结束，按当日的身体情况进行伤残鉴定。

2. **多处伤残处理：**
   - 同一事故造成多处伤残时，先分别评定各处伤残程度
   - 伤残等级不同时，以最重的伤残等级作为最终评定结论
   - 两处或以上伤残等级相同时，伤残等级最多晋升一级，最高晋升至第一级
   - 同一部位和性质的伤残，不得采用标准条文两条以上或同一条文两次以上评定

3. **既往伤残处理：**
   如被保险人在本次事故前已有伤残，按合并后的伤残程度对应给付比例给付伤残保险金，但需扣除原有伤残程度对应的伤残保险金。

**保险金给付：**
保险人按《伤残评定标准》所列给付比例乘以意外伤害保险金额给付伤残保险金。",准确
平安守护尊享成人意外险,保险期间可以中途退保吗？,"是的，保险期间可以中途退保。根据产品条款，投保人可以书面形式通知保险人解除合同，但保险人已根据保险合同约定给付保险金的除外。投保人解除保险合同时，需要提供保险合同解除申请书、保险单原件、保险费交付凭证和投保人身份证明等文件。自保险人接到保险合同解除申请书之时起，保险合同效力终止，保险人将在收到相关证明文件和资料后三十日内退还保险单的现金价值。

[参考文档块：块27, 块31]","根据平安守护尊享成人意外险条款规定：

**可以中途退保**。投保人在保险合同成立后，可以书面形式通知保险人解除合同，但保险人已根据保险合同约定给付保险金的除外。

**退保流程**：
1. 需提供以下证明文件和资料：
   - 保险合同解除申请书
   - 保险单原件
   - 保险费交付凭证
   - 投保人身份证明

2. 合同效力自保险人接到保险合同解除申请书之时起终止

3. 保险人收到上述证明文件和资料之日起30日内退还保险单的现金价值

**注意事项**：
- 如果投保人故意不履行如实告知义务，保险人有权解除合同且不退还保险费
- 如果因重大过失未履行如实告知义务，对保险事故的发生有严重影响的，保险人解除合同但应当退还保险费

建议在退保前仔细考虑保障需求，如有疑问可咨询平安保险客服获取更详细的退保金额测算。",准确
平安守护尊享成人意外险,如果发生保险事故，需要准备哪些理赔材料？,"根据平安守护尊享成人意外险的条款，不同保险责任需要准备不同的理赔材料：

**一、意外伤害身故保险金、交通意外伤害身故特别保险金申请：**
1. 保险金给付申请书
2. 保单号或有效保险凭证
3. 保险金申请人的身份证明
4. 公安部门或医疗机构出具的被保险人死亡证明书
5. 其他与确认保险事故性质、原因、损失程度有关的证明资料
6. 委托他人申请时需提供授权委托书及双方身份证明

**二、意外伤害伤残保险金及意外骨折、关节脱位保险金申请：**
1. 保险金给付申请书
2. 保单号或有效保险凭证
3. 被保险人身份证明
4. 二级以上（含二级）医疗机构的疾病诊断书及司法鉴定机构出具的伤残鉴定报告
5. 其他相关证明资料
6. 委托他人申请时需提供授权委托书及双方身份证明

**三、意外伤害医疗保险金、轻度骨折津贴、骨密度检测津贴申请：**
1. 保险金给付申请书
2. 保单号或有效保险凭证
3. 被保险人身份证明
4. 释义医院出具的医疗证明和医疗费用原始凭证
5. 其他相关证明资料
6. 委托他人申请时需提供授权委托书及双方身份证明

**四、意外伤害住院津贴保险金、意外伤害住院护理津贴保险金申请：**
1. 保险金给付申请书
2. 保单号或有效保险凭证
3. 被保险人身份证明
4. 释义医院出具的病历和住院证明
5. 其他相关证明资料
6. 委托他人申请时需提供授权委托书及双方身份证明

[参考文档块：块27, 块28, 块29, 块30]","根据平安守护尊享成人意外险的条款规定，理赔所需材料因保险事故类型而异：

**一、身故保险金申请材料：**
1. 保险金给付申请书
2. 保单号或其他有效保险凭证
3. 保险金申请人身份证明
4. 公安部门或医疗机构出具的死亡证明书
5. 由承运人或交通安全部门提供的意外事故证明
6. 其他与确认事故性质、原因、损失程度相关的证明材料
7. 如委托他人办理，需提供授权委托书及双方身份证明

**二、伤残保险金申请材料：**
1. 保险金给付申请书
2. 保单号或有效保险凭证
3. 被保险人身份证明
4. 二级以上（含二级）医疗机构疾病诊断书及司法鉴定机构出具的伤残鉴定报告
5. 其他相关证明材料
6. 如委托他人办理，需提供授权委托书及双方身份证明

**三、医疗保险金申请材料：**
1. 保险金给付申请书
2. 保单号或有效保险凭证
3. 被保险人身份证明
4. 医疗费用原始凭证、诊断证明、病历资料
5. 其他相关证明材料

**重要提示：**
- 就诊应在保险合同约定的释义医院进行
- 如因急诊未在释义医院就诊，应在3日内通知保险人
- 如需在非释义医院就诊，需提前获得保险人书面同意
- 所有医疗费用需符合当地社保规定的可报销范围

建议在发生保险事故后及时联系平安保险客服，获取详细的理赔指导。",不准确
平安守护尊享成人意外险,保险责任开始的具体时间是什么时候？,"根据保险条款，保险责任开始的具体时间以保险单载明的起讫时间为准。投保人与保险人协商确定保险期间后，会在保险单中明确记载保险责任的开始和结束时间。

[参考文档块：块21]","根据提供的保险条款内容，平安守护尊享成人意外险的保险责任开始时间以保险单载明的起讫时间为准。

具体依据：
第十二条明确规定：""本保险合同保险期间由保险人和投保人协商确定，以保险单载明的起讫时间为准。""

因此，投保人需要查看保险单上载明的具体起讫日期来确定保险责任开始的确切时间。",准确
平安守护尊享成人意外险,如果投保人未按时缴费，保险公司会如何催告？,"根据产品文档信息，若投保人分期支付保险费，在支付首期保险费后未按约定时间交纳后续保费，保险人会进行催告。投保人可在催告之日起30日内（含第30日）补交保险费。若超过30日仍未补交，保险合同自当期保费应付之日起终止。

[参考文档块：块2]","根据平安守护尊享成人意外险的相关条款，如果投保人未按时缴费：

保险公司会向投保人发出催告通知，并给予30天的宽限期（含第30日）补交欠缴保费。在此期间，保险合同仍然有效，若被保险人发生保险事故，保险公司将按约定给付保险金，但有权从给付的保险金中扣除投保人欠缴的保险费。

若投保人在催告之日起30日内仍未补交保险费，则保险合同自当期保费应付之日起终止。对于保险合同终止后发生的保险事故，保险公司不再承担保险责任。",准确
平安守护尊享成人意外险,投保后可以增加或减少保障项目吗？,"根据产品文档信息，投保后可以变更合同内容，包括增加或减少保障项目。投保人和保险人可以协商变更合同内容，变更时应当由保险人在保险单或其他保险凭证上批注或附贴批单，或者双方订立变更的书面协议。

[参考文档块：块26]","根据平安守护尊享成人意外险条款第二十六条规定，投保人和保险人可以协商变更合同内容。变更保险合同时，应当由保险人在保险单或者其他保险凭证上批注或附贴批单，或者投保人和保险人订立变更的书面协议。

因此，投保后是可以增加或减少保障项目的，但需要与保险公司协商一致，并按照规定的程序办理合同变更手续。",准确
平安安居尊享家财险,这个保险产品承保哪些类型的家庭财产？,"根据产品文档信息，平安安居尊享家财险承保的家庭财产包括：

1. **房屋主体** - 指房屋主体承重结构、围护结构（墙体、门、窗等），但不包括独立于房屋主体之外的车库、围墙等附属建筑物

2. **房屋装修** - 指房屋装潢中固定的、不能移动的硬装修，如固定装置的水暖、气暖、卫生、供水、管道煤气及供电设备、吊顶、墙面涂料等

3. **室内财产**，具体包括：
   - 普通家用电器（包括安装在房屋外的空调器和太阳能热水器等家用电器的室外设备）
   - 便携式家用电器（便携式电脑、移动电话、随身听、数码播放器、电动剃须刀、照相机、摄像机）
   - 床上用品、衣物、鞋帽、箱包、手表
   - 家具
   - 文体娱乐用品（文具、书籍、球具、棋牌）
   - 经投保人申请且经保险人书面同意承保的其他家庭财产

需要注意的是，具体承保的家庭财产以保单载明为准。

[参考文档块：块1, 块13, 块14, 块24, 块37]","根据平安安居尊享家财险的相关条款，该保险产品承保的家庭财产主要包括以下三类：

**一、房屋主体**
- 房屋结构及围护结构（墙体、门、窗等）
- 注：不承保独立于房屋主体的车库、围墙等附属建筑物

**二、房屋装修**
- 固定不可移动的硬装修部分
- 包括：水暖、气暖、卫生、供水、管道煤气、供电设备、吊顶、墙面涂料等固定装置

**三、室内财产**
1. **普通家用电器**：包括安装在房屋外的空调器、太阳能热水器等设备的室外部分
2. **便携式家用电器**：便携式电脑、移动电话、随身听、数码播放器、电动剃须刀、照相机、摄像机
3. **生活用品**：床上用品、衣物、鞋帽、箱包、手表
4. **家具**
5. **文体娱乐用品**：文具、书籍、球具、棋牌
6. **其他财产**：经投保人申请且保险人书面同意承保的其他家庭财产

需要注意的是，该保险不承保现金、金银珠宝、首饰等贵重物品，以及因财产直接损坏后造成的间接损失（如收益减少、价值降低等）。",准确
平安安居尊享家财险,水暖管爆裂造成的哪些损失可以获得赔偿？,"根据产品文档信息，水暖管爆裂造成的以下损失可以获得赔偿：

1. 水暖管修复费用 - 因水暖管突然爆裂产生的修复费用
2. 财产损失 - 因水暖管爆裂导致保险标的遭受水浸、腐蚀发生的损失，包括：
   - 被保险房屋内的损失
   - 楼上住户家的损失  
   - 隔壁邻居家的损失
   - 属于业主共有部分的损失
3. 施救费用 - 为防止或减少保险标的损失所支付的必要、合理的费用

[参考文档块：块2, 块3]","根据平安安居尊享家财险条款，水暖管爆裂造成的以下损失可以获得赔偿：

**可赔偿的损失范围：**
1. **直接财产损失**：因水暖管爆裂导致保险标的遭受水浸、腐蚀造成的直接损失
2. **修复费用**：水暖管突然爆裂产生的修复费用
3. **施救费用**：为防止或减少损失所支付的必要的、合理的费用

**具体涵盖场景：**
- 被保险房屋内的水暖管爆裂
- 楼上住户、隔壁邻居家的水暖管爆裂  
- 属于业主共有部分的水暖管爆裂

**不赔偿的情况：**
- 水暖管保质期内应由生产厂商或销售商承担的更换费用
- 任何间接损失
- 每次事故免赔额（率）内的损失
- 条款第八条列明的免责情形（如故意行为、战争、核辐射、地震海啸等）

**温馨提示：** 具体赔偿金额以保险单载明的保险金额为限，且需扣除约定的免赔额。建议您仔细阅读保单中的具体约定。",准确
平安安居尊享家财险,哪些财产明确不在保障范围内？,"根据产品文档，以下财产明确不在保障范围内：

1. 金银、首饰、珠宝、货币、有价证券、票证、邮票、古玩、文件、账册、技术资料、图表、动植物以及其他无法鉴定价值的财产
2. 违章建筑、危险建筑、非法占有的财产
3. 用于生产经营的财产
4. 其他保险单中载明的不属于保障范围的财产
5. 其他不属于承保财产范围的财产

此外，在水暖管保质期内，应由生产厂商或销售商承担的水暖管更换费用及其应承担赔偿责任的其他财产损失也不在保障范围内。

[参考文档块：块1, 块2, 块3, 块24, 块25]","根据平安安居尊享家财险条款，以下财产明确不在保障范围内：

**一、特定财产类别：**
1. 有价证券、票证、邮票、古玩、文件、账册、技术资料、图表、动植物等无法鉴定价值的财产
2. 违章建筑、危险建筑、非法占有的财产
3. 用于生产经营的财产
4. 保险单中载明不属于保障范围的财产

**二、特定损失情形：**
1. 间接损失（包括收益减少、价值降低、支出增加等后果损失）
2. 仅因烘、烤、烫、烙造成的焦糊变质损失
3. 正常燃烧（如防疫焚毁衣物、烧荒等）
4. 电机、电器、电气设备因超电压、碰线、漏电、自身发热造成的本身损毁
5. 家用电器因超电压、碰线、漏电、自身发热造成的自身损毁（除非发生燃烧造成火灾）
6. 保险标的因自身缺陷、变质、霉烂、受潮、虫咬、自然磨损或保管不善导致的损失
7. 物体本身瑕疵、使用损耗或产品质量低劣造成的损失

**三、特定位置损失：**
保险标的在保险单载明地址的房屋外遭受的损失（安装在房屋外的空调器和太阳能热水器等家用电器的室外设备除外）

**四、特定除外情形：**
独立于房屋主体之外的车库、围墙等附属建筑物不在房屋主体保障范围内。",不准确
平安安居尊享家财险,投保这个保险需要满足什么条件？,"根据产品文档信息，投保""平安安居尊享家财险""需要满足以下条件：

1. **投保人资格**：必须是具有完全民事行为能力的自然人
2. **被保险人资格**：必须是自然人
3. **保险标的范围**：仅限于被保险人所有的房屋主体、房屋装修、室内财产及其他经投保人申请且经保险人书面同意承保的其他家庭财产

需要注意的是，以下财产不属于保险标的：
- 金银、首饰、珠宝、货币、有价证券等无法鉴定价值的财产
- 违章建筑、危险建筑、非法占有的财产
- 用于生产经营的财产
- 其他保险单中载明不属于保障范围的财产

[参考文档块：块1, 块2, 块24]","根据平安安居尊享家财险条款，投保需满足以下条件：

1. **投保人资格**：必须为具有完全民事行为能力的自然人（条款第三条）

2. **被保险人资格**：必须为自然人（条款第二条）

3. **保险标的范围**：
   - 房屋主体（包括承重结构和围护结构）
   - 房屋装修（固定的硬装修）
   - 室内财产（家用电器、家具、衣物等）
   - 其他经保险人书面同意承保的家庭财产

4. **除外财产**：以下财产不在承保范围内
   - 金银珠宝、货币有价证券等无法鉴定价值的财产
   - 违章建筑、危险建筑
   - 用于生产经营的财产
   - 保险单载明的不属于保障范围的财产

5. **其他要求**：
   - 保险金额需由投保人与保险人协商确定
   - 保险期间需双方约定并在保单中载明
   - 每次事故免赔额（率）需协商确定

注：具体承保的家庭财产以保单载明为准。",准确
